Structure,Substructure,Makespan,Final_Solve,Total_Solve,Obj,Num
0,0,7,0.317,14.644,9,3
0,1,8,0.532,10.410,14,4
0,2,7,0.163,4.585,12,3
0,3,8,0.514,10.266,16,3
0,4,6,0.142,3.221,8,3
0,5,8,0.318,9.522,14,3
0,6,6,0.082,2.263,10,4
0,7,5,0.024,0.801,2,1
0,8,8,0.437,12.258,14,4
1,0,7,0.180,15.048,9,3
1,1,6,0.085,2.105,8,3
1,2,6,0.073,2.144,14,5
1,3,8,0.547,12.543,16,4
1,4,7,0.196,6.108,11,3
1,5,5,0.028,0.894,2,1
1,6,5,0.027,0.875,2,1
1,7,5,0.025,0.827,2,1
1,8,8,0.295,27.182,6,1
2,0,6,0.105,2.512,10,4
2,1,8,0.565,8.692,12,3
2,2,8,0.556,11.990,16,3
2,3,9,0.946,24.141,15,3
2,4,7,0.192,5.194,14,4
2,5,5,0.030,0.873,2,1
2,6,5,0.029,0.870,2,1
2,7,5,0.027,0.845,2,1
2,8,8,0.293,27.169,10,2
3,0,7,0.325,14.459,11,4
3,1,7,0.298,7.004,7,2
3,2,6,0.155,2.926,12,4
3,3,7,0.160,4.806,7,2
3,4,8,0.506,10.856,14,3
3,5,8,0.487,10.996,18,4
3,6,8,0.293,9.337,6,1
3,7,7,0.138,4.598,11,3
3,8,7,0.163,13.790,7,2
3,9,7,0.155,13.909,9,3
3,10,7,0.148,4.839,7,2
3,11,6,0.067,2.175,10,4
4,0,7,0.198,13.993,9,3
4,1,7,0.171,4.559,11,3
4,2,7,0.180,4.831,7,2
4,3,6,0.087,2.240,8,3
4,4,7,0.161,5.306,11,3
4,5,7,0.157,4.768,7,2
4,6,6,0.079,2.217,8,3
4,7,6,0.071,2.192,8,3
4,8,9,0.423,21.288,13,3
4,9,8,0.219,7.675,12,3
4,10,5,0.025,0.847,6,3
5,0,6,0.093,2.230,14,5
5,1,8,0.331,7.293,16,4
5,2,7,0.179,13.942,11,3
5,3,6,0.093,2.223,6,2
5,4,6,0.088,2.226,6,2
5,5,6,0.063,2.169,4,1
5,6,5,0.028,0.824,2,1
5,7,6,0.073,2.178,4,1
6,0,6,0.095,2.264,14,5
6,1,8,0.300,7.800,12,3
6,2,7,0.156,3.735,12,3
6,3,8,0.270,7.053,14,4
6,4,8,0.279,8.601,12,2
6,5,8,0.346,8.492,10,2
6,6,6,0.079,2.272,14,5
6,7,6,0.081,2.220,8,3
6,8,5,0.029,0.837,2,1
6,9,5,0.033,0.831,2,1
6,10,5,0.027,0.814,8,4
7,0,7,0.226,13.991,9,3
7,1,7,0.242,14.714,9,3
7,2,7,0.154,3.905,12,3
7,3,8,0.288,6.911,16,4
7,4,7,0.274,5.158,15,4
7,5,7,0.147,4.730,11,3
7,6,6,0.062,2.054,6,2
7,7,6,0.059,1.990,6,2
7,8,6,0.065,2.092,4,1
7,9,6,0.126,3.065,4,1
7,10,7,0.121,5.589,11,3
8,0,8,0.313,7.629,16,5
8,1,6,0.143,3.083,10,3
8,2,7,0.158,4.741,15,4
8,3,7,0.152,4.458,11,3
8,4,7,0.322,4.724,14,4
8,5,7,0.289,15.879,9,3
8,6,6,0.112,3.350,8,3
8,7,5,0.025,0.848,4,2
9,0,6,0.157,2.937,14,5
9,1,7,0.254,7.055,7,2
9,2,7,0.162,4.713,11,3
9,3,8,0.418,7.118,16,4
9,4,8,0.418,10.663,12,3
9,5,7,0.159,14.313,13,3
9,6,7,0.299,5.703,7,2
9,7,6,0.118,3.134,6,2
9,8,6,0.095,3.151,6,2
9,9,6,0.073,2.169,6,2
9,10,5,0.023,0.795,8,4
10,0,7,0.320,14.783,9,3
10,1,7,0.175,15.110,9,3
10,2,7,0.293,6.880,11,3
10,3,8,0.319,11.690,12,3
10,4,7,0.158,4.773,7,2
10,5,7,0.270,4.913,15,4
10,6,6,0.136,3.235,6,2
10,7,7,0.156,14.769,9,3
10,8,7,0.121,4.486,7,2
10,9,5,0.023,0.786,2,1
10,10,5,0.024,0.771,2,1
10,11,7,0.151,14.907,11,4
11,0,8,0.307,7.354,14,4
11,1,6,0.149,3.228,6,2
11,2,7,0.237,6.396,7,2
11,3,6,0.075,2.281,8,3
11,4,8,0.534,8.121,18,4
11,5,9,0.959,25.484,15,3
11,6,7,0.187,6.114,11,3
11,7,6,0.095,2.451,4,1
11,8,7,0.131,4.580,7,2
11,9,7,0.151,14.237,7,2
11,10,6,0.068,2.063,8,3
11,11,6,0.062,2.103,6,2
11,12,8,0.353,11.133,16,5
12,0,7,0.232,5.949,15,4
12,1,8,0.334,7.899,16,4
12,2,7,0.314,14.824,11,3
12,3,6,0.148,3.282,6,2
12,4,6,0.094,2.668,8,3
12,5,6,0.079,2.253,6,2
12,6,6,0.072,2.089,12,4
12,7,7,0.133,4.407,7,2
12,8,5,0.024,0.795,2,1
12,9,5,0.023,0.775,8,4
13,0,7,0.188,13.845,9,3
13,1,6,0.096,2.287,8,3
13,2,6,0.084,2.158,14,5
13,3,8,0.319,16.463,10,2
13,4,7,0.160,4.855,7,2
13,5,8,0.296,7.745,12,3
13,6,9,0.515,10.794,17,3
13,7,6,0.074,2.291,12,4
13,8,6,0.080,2.288,4,1
13,9,6,0.070,2.269,12,5
14,0,8,0.374,8.459,22,5
14,1,8,0.326,7.271,16,4
14,2,7,0.170,13.901,9,2
14,3,6,0.083,2.160,8,3
14,4,7,0.157,13.655,9,3
14,5,6,0.078,2.118,4,1
14,6,6,0.085,2.256,4,1
14,7,5,0.028,0.841,2,1
14,8,5,0.027,0.825,2,1
14,9,5,0.027,0.803,2,1
14,10,5,0.027,0.815,2,1
14,11,8,0.252,8.245,6,1
15,0,7,0.191,13.777,11,4
15,1,7,0.186,13.964,9,3
15,2,7,0.173,4.154,12,3
15,3,7,0.177,13.910,9,3
15,4,5,0.032,0.839,2,1
15,5,8,0.317,8.071,6,1
15,6,5,0.027,0.833,2,1
15,7,5,0.026,0.821,2,1
15,8,5,0.028,0.823,2,1
16,0,8,0.352,7.685,16,5
16,1,6,0.091,2.292,10,3
16,2,7,0.171,4.836,7,2
16,3,8,0.327,8.509,14,4
16,4,7,0.160,4.787,7,2
16,6,9,0.448,20.511,16,3
16,7,7,0.130,4.443,11,3
16,8,7,0.139,13.689,9,2
16,9,6,0.071,2.127,4,1
16,10,5,0.023,0.773,4,2
17,0,6,0.083,2.092,12,4
17,1,6,0.076,2.096,12,4
17,2,7,0.159,5.464,7,2
17,3,7,0.145,6.372,15,4
17,4,6,0.094,2.332,8,3
17,5,9,0.453,11.432,16,3
17,6,6,0.070,2.093,6,2
17,7,7,0.143,13.767,9,3
17,8,6,0.076,2.294,4,1
17,9,5,0.028,0.862,6,3
18,0,8,0.537,9.779,14,4
18,1,6,0.116,2.787,6,2
18,2,8,0.360,8.657,18,4
18,3,8,0.532,8.088,20,5
18,4,7,0.193,15.144,7,2
18,5,6,0.081,2.321,8,3
18,6,8,0.468,7.934,12,3
18,7,7,0.205,6.053,7,2
18,8,6,0.128,2.817,8,3
18,9,7,0.170,5.566,7,2
18,10,5,0.024,0.845,2,1
18,11,5,0.025,0.798,10,5
19,0,7,0.167,13.669,11,3
19,1,7,0.163,3.868,15,4
19,2,8,0.338,16.345,14,3
19,3,7,0.178,4.877,7,2
19,4,8,0.328,8.552,16,4
19,5,8,0.347,8.442,10,2
19,6,6,0.092,2.314,8,2
19,7,7,0.174,4.783,7,2
19,8,7,0.169,13.957,7,2
19,9,7,0.161,4.564,7,2
19,10,6,0.092,2.270,4,1
19,11,6,0.081,2.257,6,2
19,12,8,0.246,8.680,14,3
20,0,6,0.094,2.281,8,3
20,1,6,0.088,2.212,10,4
20,2,8,0.318,7.794,14,4
20,3,5,0.031,0.857,2,1
20,4,5,0.027,0.834,2,1
20,5,8,0.292,26.265,6,1
20,6,6,0.095,2.393,4,1
20,7,8,0.306,7.606,6,1
20,8,8,0.300,8.370,6,1
20,9,5,0.027,0.851,8,4
21,0,6,0.090,2.132,10,4
21,1,8,0.358,8.796,20,4
21,2,7,0.174,4.814,7,2
21,3,7,0.153,13.821,9,3
21,4,8,0.265,7.359,20,5
21,5,6,0.080,2.107,6,2
21,6,5,0.024,0.776,2,1
21,7,5,0.024,0.778,2,1
21,8,5,0.025,0.779,2,1
22,0,7,0.176,13.550,11,4
22,1,6,0.088,2.113,8,3
22,2,7,0.258,6.015,7,2
22,3,6,0.142,3.051,8,3
22,4,7,0.134,5.065,14,3
22,5,6,0.090,2.427,8,3
22,6,6,0.125,2.289,4,1
22,7,8,0.375,9.244,8,2
23,0,8,0.310,9.578,14,4
23,1,6,0.153,2.881,8,3
23,2,6,0.103,3.015,14,5
23,3,8,0.288,10.249,12,3
23,4,7,0.142,4.420,7,2
23,5,7,0.194,5.953,7,2
23,6,9,0.453,13.454,17,3
23,7,7,0.139,4.625,7,2
23,8,7,0.217,5.867,11,3
23,9,6,0.068,2.304,6,2
23,10,5,0.027,0.838,10,5
24,0,7,0.267,14.229,11,4
24,1,8,0.329,8.354,12,3
24,2,6,0.141,2.069,8,3
24,3,7,0.160,6.668,7,2
24,4,7,0.168,4.495,7,2
24,5,8,0.268,7.008,10,2
24,6,6,0.132,2.765,12,4
24,7,7,0.136,6.365,7,2
24,8,6,0.056,2.078,14,5
24,9,6,0.049,2.027,4,1
24,10,5,0.023,0.778,2,1
24,11,5,0.022,0.768,8,4
25,0,6,0.081,2.063,12,4
25,1,6,0.078,1.988,8,3
25,2,7,0.270,5.291,7,2
25,3,8,0.298,8.882,22,5
25,4,6,0.073,2.155,12,4
25,5,5,0.025,0.801,2,1
25,6,6,0.051,2.076,4,1
25,7,5,0.023,0.788,4,2
26,0,6,0.162,2.582,10,4
26,1,8,0.309,10.065,12,3
26,2,6,0.069,2.075,8,3
26,3,8,0.272,7.531,10,2
26,4,8,0.490,8.682,12,3
26,5,8,0.259,9.600,10,2
26,6,7,0.152,14.201,11,3
26,7,6,0.067,2.119,10,3
26,8,7,0.122,3.741,11,3
26,9,6,0.169,2.506,8,3
26,10,6,0.111,3.064,4,1
26,11,8,0.194,27.466,12,3
27,0,6,0.087,2.164,10,4
27,1,7,0.159,4.494,7,2
27,2,6,0.140,2.881,10,3
27,3,6,0.140,3.158,12,4
27,4,6,0.145,3.239,12,4
27,5,7,0.153,5.679,7,2
27,6,5,0.030,0.887,2,1
27,7,5,0.028,0.837,2,1
30,0,8,0.625,8.494,14,4
30,1,7,0.274,5.948,12,3
30,2,8,0.302,8.776,10,2
30,3,7,0.367,14.805,11,3
30,4,6,0.146,3.078,8,3
30,5,7,0.264,15.251,9,3
30,6,6,0.124,2.934,8,2
30,7,7,0.140,4.991,7,2
30,8,8,0.372,9.196,14,3
30,9,6,0.091,2.628,6,2
30,10,6,0.077,2.261,6,2
30,11,6,0.052,2.063,4,1
30,12,5,0.026,0.800,2,1
30,13,5,0.025,0.790,8,4
31,0,6,0.084,2.087,10,4
31,1,7,0.227,5.889,7,2
31,2,6,0.089,2.591,6,2
31,3,6,0.060,2.090,6,2
31,4,8,0.289,8.764,20,4
31,5,8,0.252,7.019,14,3
31,6,7,0.148,13.712,9,2
31,7,7,0.157,13.780,9,3
31,8,6,0.075,2.265,6,2
31,9,5,0.029,0.833,2,1
31,10,5,0.026,0.827,8,4
32,0,8,0.352,7.760,14,4
32,1,6,0.093,2.288,6,2
32,2,6,0.086,2.227,14,5
32,3,8,0.321,8.821,12,3
32,4,9,0.535,20.574,17,3
32,5,6,0.085,2.171,8,3
32,6,7,0.151,4.765,7,2
32,7,9,0.458,16.764,12,2
32,8,6,0.076,2.268,4,1
32,9,7,0.151,4.803,7,2
32,10,7,0.150,4.108,11,3
32,11,6,0.077,2.222,6,2
32,12,7,0.121,13.869,9,3
33,0,7,0.187,13.981,9,3
33,1,6,0.093,2.328,6,2
33,2,7,0.170,4.844,7,2
33,3,6,0.082,2.240,12,4
33,4,7,0.172,5.044,11,3
33,5,8,0.282,6.977,12,3
33,6,6,0.073,2.096,8,3
33,7,7,0.133,13.598,9,3
33,8,6,0.053,2.012,6,2
33,9,6,0.060,2.067,10,4
34,0,6,0.086,2.136,14,5
34,1,6,0.080,2.378,8,3
34,2,8,0.333,6.891,20,4
34,3,7,0.153,14.210,7,2
34,4,6,0.092,2.647,6,2
34,5,6,0.095,2.648,6,2
34,6,7,0.195,6.120,7,2
34,7,5,0.025,0.810,2,1
34,8,5,0.025,0.805,8,4
35,0,7,0.172,13.572,11,4
35,1,6,0.084,2.065,10,4
35,2,7,0.169,5.668,7,2
35,3,8,0.289,9.003,16,3
35,4,6,0.075,2.092,8,3
35,5,7,0.154,6.863,7,2
35,6,8,0.229,10.290,12,3
35,7,6,0.057,2.032,8,3
35,8,7,0.234,5.822,15,4
35,9,7,0.199,5.990,7,2
35,10,8,0.164,11.139,10,2
36,0,7,0.339,14.790,9,3
36,1,6,0.195,3.162,14,5
36,2,8,0.332,9.296,20,5
36,3,6,0.150,2.293,8,3
36,4,7,0.276,7.347,7,2
36,5,8,0.302,10.007,10,2
36,6,7,0.145,4.649,7,2
36,7,7,0.236,14.972,11,3
36,8,6,0.061,2.680,6,2
36,9,5,0.022,0.788,6,3
37,0,8,0.611,10.706,20,4
37,1,9,0.682,23.511,15,3
37,2,6,0.088,2.186,8,3
37,3,6,0.092,2.130,8,3
37,4,7,0.153,4.503,7,2
37,5,6,0.115,2.479,6,2
37,6,7,0.274,6.772,7,2
37,7,5,0.051,1.216,2,1
37,8,5,0.053,1.221,2,1
37,9,5,0.058,1.148,2,1
37,10,5,0.040,1.043,2,1
37,11,5,0.027,0.869,2,1
37,12,6,0.071,2.173,4,1
37,13,5,0.023,0.790,4,2
38,0,7,0.315,14.386,11,4
38,1,6,0.106,2.852,8,3
38,2,8,0.545,8.136,12,3
38,3,8,0.305,9.953,14,4
38,4,8,0.409,7.453,14,4
38,5,6,0.104,3.032,6,2
38,6,6,0.130,2.639,8,3
38,7,6,0.060,1.989,6,2
38,8,8,0.195,8.718,10,2
39,0,7,0.289,14.202,11,4
39,1,8,0.302,7.538,14,3
39,2,6,0.076,2.139,6,2
39,3,7,0.148,5.358,7,2
39,4,9,0.488,21.003,17,3
39,5,7,0.162,4.810,7,2
39,6,9,0.534,20.619,15,3
39,7,7,0.154,5.004,7,2
39,8,7,0.156,13.967,7,2
39,9,7,0.143,13.962,9,3
39,10,5,0.027,0.858,2,1
39,11,8,0.221,8.657,12,3
40,0,6,0.093,2.262,14,5
40,1,8,0.333,7.961,12,3
40,2,8,0.332,8.905,16,3
40,3,8,0.337,8.182,16,4
40,4,7,0.180,13.981,9,3
40,5,6,0.084,2.274,6,2
40,6,7,0.165,4.944,11,3
40,7,7,0.156,4.550,7,2
40,8,6,0.084,2.261,6,2
40,9,6,0.057,2.160,4,1
40,10,6,0.074,2.117,6,2
40,11,5,0.029,0.856,2,1
40,12,5,0.025,0.829,4,2
41,0,7,0.186,13.986,11,3
41,1,8,0.367,7.495,24,5
41,2,6,0.084,2.205,6,2
41,3,6,0.074,2.082,14,5
41,4,8,0.276,6.995,12,3
41,5,6,0.072,2.061,6,2
41,6,7,0.127,4.397,7,2
41,7,6,0.063,2.098,6,2
41,8,5,0.023,0.774,2,1
41,9,5,0.024,0.765,2,1
41,10,8,0.203,7.512,10,3
42,0,8,0.459,8.254,14,4
42,1,6,0.148,3.568,10,3
42,2,7,0.153,5.598,7,2
42,3,6,0.085,2.605,14,5
42,4,8,0.404,10.359,12,3
